OID,NDVI_center,Building_Coverage,Weighted_Height,SPEED_M_s_,ALT_M_,NR_TAC,NR_PCI,Base_Central_frequency_point,Base_Electronic_downtilt,Base_Mechanical_downtilt,Base_Power,Match_Dist,DEM_center,True_3D_Dist,Building_Coverage,Match_Angle_sin,Match_Angle_cos,Base_Direction_angle_sin,Base_Direction_angle_cos,NR_BAND_enc,Base_Bandwidth_enc,log_Match_Dist,log_True_3D_Dist,Power_to_Dist_ratio,Match_Dist_bin,SS_RSRP
65,0.596026003,0,0,29.24625,393.375,10121472,364,630000,6,6,24,3870.439198,268,3871.60875,3.18E-17,-0.548789845,-0.83596035,0.173648178,-0.984807753,1,0,8.261381603,8.261683655,0.006200847,9,-93.5
66,0.68710798,0,0,26.08,385.7142857,10121472,364,630000,6,6,24,3998.659777,268,3999.967143,2.32E-17,-0.79889251,-0.601473821,0.173648178,-0.984807753,1,0,8.293964581,8.294291397,0.006002011,9,-92.85714286
67,0.661535978,0,0,27.34444444,369.5555556,10121472,364,630000,0,6,24,3317.834528,270,3319.068889,4.05E-17,-0.431759989,-0.901988532,0.173648178,-0.984807753,1,0,8.107368954,8.107740811,0.007233634,9,-90.33333333
68,0.603507996,0,0,23.4375,362.5,10121472,118,636664,0,6,16,3275.192815,273,3275.6775,3.39E-17,-0.064883252,-0.997892862,-0.766044443,-0.64278761,1,0,8.0944373,8.094585231,0.004885209,9,-91.125
69,0.631338,0,0,27.105,408,10121472,364,630000,6,6,24,6154.281396,262,6155.3575,1.73E-17,-0.493800158,0.869575416,0.173648178,-0.984807753,1,0,8.725065756,8.725240567,0.003899724,9,-98
70,0.680828989,0,0,26.83,408,10121472,364,630000,6,6,24,6170.766367,261,6171.84,-4.59E-17,-0.497268708,0.867596584,0.173648178,-0.984807753,1,0,8.727740359,8.727914303,0.003889306,9,-98
71,0.682821989,0,0,27.22666667,408,10121472,364,630000,6,6,24,6188.353225,268,6189.423333,-5.51E-17,-0.501318525,0.865262814,0.173648178,-0.984807753,1,0,8.730585873,8.730758753,0.003878253,9,-98
72,0.615566015,0,0,27.2175,408,10121472,364,630000,6,6,24,6204.840672,276,6205.91,-6.06E-17,-0.504181589,0.863597664,0.173648178,-0.984807753,1,0,8.733246171,8.733418467,0.003867948,9,-98
73,0.61640197,0,0,27.04,365.7142857,10121472,118,636664,0,6,16,3472.717436,281,3473.245714,-5.34E-17,-0.277072857,-0.960848912,-0.766044443,-0.64278761,1,0,8.152980607,8.153132674,0.004607343,9,-91.71428571
74,0.615177989,0,0,33.99666667,366,10121472,118,636664,0,6,16,2996.220655,286,2996.851111,-2.64E-17,0.110425024,-0.993884457,-0.766044443,-0.64278761,1,0,8.00544069,8.005651015,0.005340061,9,-90.88888889
